abazinok                      abazin
adagot                        adag
adagunkat                     adag
adag                          adag
adagolt                       adagol
adagolt                       adagol
adagolási                     adagolás
adagol                        adagol
adagolójába                   adagoló
adagolós                      adagolós
adakozókedv                   adakozókedv
adakozóknak                   adakozó
adakoz                        adakoz
adalék                        adale
adaptert                      adapter
adapter                       adapter
adaptációja                   adaptáció
adaptációs                    adaptációs
adaptáció                     adaptáció
adaptálják                    adaptálja
adaptálása                    adaptálás
adaptáló                      adaptáló
adaptál                       adaptál
adaptív                       adaptív
adata                         adat
adatai                        adat
adataiban                     adat
adataiból                     adat
adataik                       adat
adataikat                     adat
adatainak                     adat
adataink                      adat
adatainkat                    adat
adataira                      adat
adatait                       adat
adataival                     adat
adat                          ad
adatból                       adat
adatként                      adat
adatnak                       adat
adatok                        adat
adatokat                      adat
adatokba                      adat
adatokban                     adat
adatokból                     adat
adatokhoz                     adat
adatokig                      adat
adatokkal                     adat
adatoknak                     adat
adatoknak                     adat
adatoknál                     adat
adatokon                      adat
adatokra                      adat
adatokról                     adat
adatot                        adat
adatra                        adat
adatról                       adat
adattal                       ad
adatát                        adat
adatának                      adat
adatanalízis                  adatanalízis
adatbankként                  adatba
adatbank                      adatba
adatbejelentési               adatbejelentés
adatbejelentés                adatbejelentés
adatbevitelben                adatbevitel
adatbevitel                   adatbevitel
adatbeviteli                  adatbevitel
adatbitek                     adatb
adatbiteket                   adatb
adatbitekké                   adatb
adatbitre                     adatbit
adatbit                       adatb
adatblokkok                   adatblokk
adatblokkokat                 adatblokk
adatblokk                     adatblok
adatbányászat                 adatbányász
adatbányászati                adatbányászat
adatbányászatot               adatbányászat
adatbányászattal              adatbányász
adatbázis                     adatbázis
adatbázisa                    adatbázis
adatbázisba                   adatbázis
adatbázisban                  adatbázis
adatbázisból                  adatbázis
adatbázishoz                  adatbázis
adatbázisnak                  adatbázis
adatbázisok                   adatbázis
adatbázisokat                 adatbázis
adatbázisokban                adatbázis
adatbázisokhoz                adatbázis
adatbázisokért                adatbázis
adatbázison                   adatbázis
adatbázisra                   adatbázis
adatbázisról                  adatbázis
adatbázissal                  adatbázis
adatbázist                    adatbázis
adatbázisába                  adatbázis
adatbázisában                 adatbázis
adatbázisából                 adatbázis
adatbázis-beli                adatbázis-bel
adatbázis-cache               adatbázis-cach
adatbázis-fejlesztésben       adatbázis-fejlesztés
adatbázis-infrastruktúráját   adatbázis-infrastruktúrá
adatbázis-kezelés             adatbázis-kezelés
adatbázis-kezelést            adatbázis-kezelés
adatbázis-kezelõ              adatbázis-kezelõ
adatbázis-kezelõi             adatbázis-kezelõ
adatbázis-kezelõjéért         adatbázis-kezelõ
adatbázis-kezelõk             adatbázis-kezelõ
adatbázis-kezelõket           adatbázis-kezelõ
adatbázis-kezelõnek           adatbázis-kezelõ
adatbázis-kezelõt             adatbázis-kezelõ
adatbáziskezelõ               adatbáziskezelõ
adatbázis-kiszolgáló          adatbázis-kiszolgáló
adatbázis-kiszolgálón         adatbázis-kiszolgáló
adatbázis-készítõje           adatbázis-készítõ
adatbázis-központú            adatbázis-központú
adatbázis-szerverre           adatbázis-szerver
adatbázisszintû               adatbázisszintû
adatbázistermékére            adatbázisterme
adatcsere                     adatcs
adatcsomag                    adatcsomag
adatcsomagokba                adatcsomag
adatcsoportokhoz              adatcsoport
adatelemnek                   adatel
adatelemzésre                 adatelemzés
adatelérésû                   adatelérésû
adatfajtákra                  adatfajta
adatfeldolgozó                adatfeldolgozó
adatfeldolgozók               adatfeldolgozó
adatfelhalmozás               adatfelhalmozás
adatfeltöltés                 adatfeltöltés
adatfelíráshoz                adatfelírás
adatfolyam                    adatfoly
adatfolyamnak                 adatfoly
adatfolyamot                  adatfoly
adatforgalma                  adatforgalm
adatforgalmat                 adatforgal
adatforgalomnak               adatforgal
adatforgalom                  adatforgal
adatforgalom-szolgáltatási    adatforgalom-szolgáltatás
adatformátum                  adatformátu
adatforrásból                 adatforrás
adatgyûjtemény                adatgyûjtemény
adatgyûjtés                   adatgyûjtés
adatgyûjtésre                 adatgyûjtés
adathordozó                   adathordozó
adathordozóban                adathordozó
adathordozóhoz                adathordozó
adathordozók                  adathordozó
adathordozókat                adathordozó
adathordozóra                 adathordozó
adathordozóról                adathordozó
adathordozót                  adathordozó
adathálózat                   adathálóz
adathálózathoz                adathálózat
adathálózati                  adathálózat
adathálózatokhoz              adathálózat
adathálózatán                 adathálózat
adathálózatának               adathálózat
adatintegritás                adatintegritás
adatkapcsolat                 adatkapcsol
adatkapcsolati                adatkapcsolat
adatkapcsolatok               adatkapcsolat
adatkapcsolatokat             adatkapcsolat
adatkapcsolatot               adatkapcsolat
adatkezelés                   adatkezelés
adatkezelése                  adatkezelés
adatkezelésnek                adatkezelés
adatkezelésre                 adatkezelés
adatkezelést                  adatkezelés
adatkommunikációból           adatkommunikáció
adatkommunikációját           adatkommunikáció
adatkommunikációra            adatkommunikáció
adatkommunikációs             adatkommunikációs
adatkábelt                    adatkábel
adatkészleteket               adatkészlet
adatközlés                    adatközlés
adatközlõ                     adatközlõ
adatközpontba                 adatközpont
adatközponti                  adatközpont
adatközpontjához              adatközpont
adatközpontokhoz              adatközpont
adatküldés                    adatküldés
adatlapja                     adatlap
adatlapok                     adatlap
adatlemez                     adatlemez
adatmennyiségeket             adatmennyiség
adatmennyiséget               adatmennyiség
adatmigrációval               adatmigráció
adatolvasás                   adatolvasás
adatpiac                      adatpiac
adatpiacba                    adatpiac
adatpiacok                    adatpiac
adatpiacokban                 adatpiac
adatpiacokkal                 adatpiac
adatpiacoknak                 adatpiac
adatpiaci                     adatpiac
adatraktáraihoz               adatraktár
adatrögzítés                  adatrögzítés
adatrögzítést                 adatrögzítés
adatsor                       adatsor
adatstruktúra                 adatstruktú
adatstruktúrába               adatstruktúr
adatstruktúrája               adatstruktúrá
adatstruktúráját              adatstruktúrá
adatstruktúrákat              adatstruktúra
adatszerkezetre               adatszerkezet
adatszinkronizáció            adatszinkronizáció
adatszolgáltatás              adatszolgáltatás
adatszolgáltatása             adatszolgáltatás
adatszolgáltatásainál         adatszolgáltatás
adatszolgáltatási             adatszolgáltatás
adatszolgáltatások            adatszolgáltatás
adatszolgáltatásokat          adatszolgáltatás
adatszolgáltatásokból         adatszolgáltatás
adatszolgáltatásra            adatszolgáltatás
adatszolgáltatásról           adatszolgáltatás
adatszolgáltatással           adatszolgáltatás
adatszolgáltatást             adatszolgáltatás
adatszolgáltatásukra          adatszolgáltatás
adatszolgáltatására           adatszolgáltatás
adatszétosztás                adatszétosztás
adatséf                       adatséf
adattovábbítás                adattovábbítás
adattovábbításban             adattovábbítás
adattovábbításhoz             adattovábbítás
adattovábbításnak             adattovábbítás
adattovábbításra              adattovábbítás
adattár                       adattár
adattárak                     adattár
adattárak                     adattár
adattárakat                   adattár
adattárakkal                  adattár
adattárakra                   adattár
adattárat                     adattár
adattárban                    adattár
adattárból                    adattár
adattárra                     adattár
adattárház-megoldást          adattárház-megoldás
adattárház-menedzser          adattárház-menedzser
adattárház-menedzsertõl       adattárház-menedzser
adattárház-menedzserének      adattárház-menedzser
adattárházak                  adattárház
adattárház                    adattárház
adattárházakat                adattárház
adattárházakból               adattárház
adattárházat                  adattárház
adattárházas                  adattárházas
adattárolás                   adattárolás
adattárolást                  adattárolás
adattároló                    adattároló
adattömeget                   adattömeg
adatvesztés                   adatvesztés
adatvesztéseket               adatvesztés
adatvesztést                  adatvesztés
adatvédelem                   adatvédel
adatvédelem                   adatvédel
adatvédelemrõl                adatvédel
adatvédelmet                  adatvédel
adatvédelmi                   adatvédelm
adatállomány-továbbítás       adatállomány-továbbítás
adatállományuk                adatállomány
adatállományának              adatállomány
adatáramlás                   adatáramlás
adatátalakítgatásokhoz        adatátalakítgatás
adatátvitel                   adatátvitel
adatátvitelhez                adatátvitel
adatátviteli                  adatátvitel
adatátvitelt                  adatátvitel
adatértelmezõ                 adatértelmezõ
adandó                        adandó
adassék                       adasse
adatik                        adat
addig                         ad
addigra                       addig
addigi                        addig
addiginál                     addig
addigsem                      addigs
addresses                     addresses
addressing                    addressing
adeni                         aden
adhassa                       adhass
adhassuk                      adhass
adhat                         adh
adhatja                       adhat
adhatjuk                      adhat
adhatják                      adhatja
adhatnak                      adhat
adhatnák                      adhatna
adhatnék                      adhatne
adhatod                       adhat
adhatott                      adhatot
adhatsz                       adhatsz
adhattam                      adhatt
adhatunk                      adhat
adhatta-vehette               adhatta-vehett
adható                        adható
adhatók                       adható
adige-abház                   adige-abház
administrative                administrativ
adminisztratív                adminisztratív
adminisztráció                adminisztráció
adminisztrációja              adminisztráció
adminisztrációs               adminisztrációs
adminisztrációt               adminisztráció
adminisztrációval             adminisztráció
adminisztrálni                adminisztráln
adminisztrált                 adminisztrál
adminisztrációs-felügyeleti   adminisztrációs-felügyelet
adminisztrátor                adminisztrátor
adminisztrátori               adminisztrátor
adminisztrátorok              adminisztrátor
adminisztrátoroknak           adminisztrátor
adminisztrátorra              adminisztrátor
adminisztrátort               adminisztrátor
admiralitás                   admiralitás
admirális                     admirális
admirálissal                  admirális
admirálist                    admirális
adogatott                     adogatot
adogatásaimat                 adogatás
adogatásait                   adogatás
adok-kapok                    adok-kap
adomákkal                     adoma
adomány                       adomány
adományaikat                  adomány
adományaikkal                 adomány
adományaimból                 adomány
adományokat                   adomány
adományokból                  adomány
adományokra                   adomány
adományoznék                  adományozne
adományozom                   adományoz
adományozott                  adományozot
adományoztak                  adományozt
adományozás                   adományozás
adományozásban                adományozás
adományjegy                   adományjegy
ad                            ad
add                           ad
adja                          ad
adja                          ad
adjak                         adj
adjam                         adj
adjanak                       ad
adjon                         adj
adjuk                         ad
adjuk                         ad
adjunk                        adj
adják                         adja
adna                          adn
adnak                         ad
adni                          adn
adnia                         adn
adniuk                        adn
adnom                         adn
adnunk                        adn
adná                          adna
adnák                         adna
adnának                       adn
adnék                         adne
adod                          ad
adok                          ad
adom                          ad
adsz                          adsz
adta                          adt
adtad                         adt
adtak                         adt
adtam                         adt
adtuk                         adt
adtunk                        adt
adták                         adta
adtál                         adtál
adunk                         ad
adva                          adv
adott                         adot
adottak                       adott
adottnak                      adott
adottság                      adottság
adottsága                     adottság
adottságai                    adottság
adottságnak                   adottság
adottságod                    adottság
adottságok                    adottság
adottságú                     adottságú
adriai                        adri
adták-vették                  adták-vette
adtán                         adt
aduvá                         adu
adventi                       advent
adácsiak                      adácsi
adás                          adás
adása                         adás
adásai                        adás
adásait                       adás
adásba                        adás
adásban                       adás
adásból                       adás
adáshoz                       adás
adásként                      adás
adásnak                       adás
adások                        adás
adásokat                      adás
adásokra                      adás
adásra                        adás
adást                         adás
adástól                       adás
adásának                      adás
adására                       adás
adásával                      adás
adásvezérlés                  adásvezérlés
adásvétel                     adásvétel
adásvételben                  adásvétel
adásvétele                    adásvétel
adásvételek                   adásvétel
adásvételi                    adásvétel
adásvétellel                  adásvétel
adásvételt                    adásvétel
adásvételével                 adásvétel
adásához                      adás
adó-állam                     adó-áll
adó-államra                   adó-áll
adóalanyok                    adóalany
adóalapból                    adóalap
adóalapja                     adóalap
adóalapjának                  adóalap
adóbevallás                   adóbevallás
adóbevallásukban              adóbevallás
adóbevallását                 adóbevallás
adóbevallási                  adóbevallás
adóbevétele                   adóbevétel
adóbevételeket                adóbevétel
adóbevételük                  adóbevétel
adó                           adó
adós                          adós
adósa                         adós
adósak                        adós
adósnak                       adós
adósok                        adós
adósokkal                     adós
adósoknak                     adós
adósokról                     adós
adóssal                       adós
adóst                         adós
adóból                        adó
adók                          adó
adókon                        adó
adókról                       adó
adóról                        adó
adót                          adó
adóval                        adó
adója                         adó
adóját                        adó
adójának                      adó
adócsalási                    adócsalás
adócsalást                    adócsalás
adócsaló                      adócsaló
adócár                        adócár
adódhat                       adódh
adódhatnak                    adódhat
adódik                        adód
adódjon                       adódj
adódna                        adódn
adódnak                       adó
adódott                       adódot
adódtak                       adódt
adódó                         adódó
adódóan                       adódó
adóegységesítés               adóegységesítés
adóellenõr                    adóellenõr
adóemelésben                  adóemelés
adófajták                     adófajta
adófizetés                    adófizetés
adófizetést                   adófizetés
adófizetési                   adófizetés
adófizetõk                    adófizetõ
adófizetõktõl                 adófizetõ
adóforintoknak                adóforint
adóhalasztást                 adóhalasztás
adóhatóság                    adóhatóság
adóhatóságnak                 adóhatóság
adóhatóságnál                 adóhatóság
adóhivatal                    adóhivatal
adójogi                       adójog
adójogszabályok               adójogszabály
adókedvezmény                 adókedvezmény
adókedvezményeket             adókedvezmény
adókedvezményekkel            adókedvezmény
adókedvezményekre             adókedvezmény
adókedvezménynél              adókedvezmény
adókedvezményt                adókedvezmény
adókonstrukciót               adókonstrukció
adókulcs                      adókulcs
adókulcsemelés                adókulcsemelés
adókészülék                   adókészüle
adóköteles                    adóköteles
adókötelezettségrõl           adókötelezettség
adólevonásra                  adólevonás
adómentesség                  adómentesség
adómentességben               adómentesség
adómentességet                adómentesség
adómérséklés                  adómérséklés
adómérték                     adómérte
adómértéket                   adómérte
adópolitika                   adópolit
adóreform                     adórefor
adórendszer                   adórendszer
adórendõre                    adórendõ
adórendõrség                  adórendõrség
adósság-visszafizetés         adósság-visszafizetés
adósság                       adósság
adóssága                      adósság
adósságainak                  adósság
adóssággá                     adósság
adóssághoz                    adósság
adósságok                     adósság
adósságokat                   adósság
adósságot                     adósság
adósságukat                   adósság
adósságának                   adósság
adósságát                     adósság
adósságtörlesztésérõl         adósságtörlesztés
adóssághegy                   adóssághegy
adóssághegyet                 adóssághegy
adósságállomány               adósságállomány
adósságállománya              adósságállomány
adósságállományát             adósságállomány
adósvédelem                   adósvédel
adószabályát                  adószabály
adószakértõk                  adószakértõ
adószámítási                  adószámítás
adótanácsot                   adótanács
adótartozás                   adótartozás
adótartozása                  adótartozás
adóteoretikusok               adóteoretikus
adótörvényben                 adótörvény
adótörvények                  adótörvény
adóváltozatban                adóváltozat
adózna                        adózn
adózott                       adózot
adózott                       adózot
adózó                         adózó
adózók                        adózó
adózás                        adózás
adózási                       adózás
adóztatják                    adóztatja
adóztatnak                    adóztat
adóztatása                    adóztatás
adóztatást                    adóztatás
adóztatását                   adóztatás
adóévre                       adóév
adóûrlapok                    adóûrlap
adóügyek                      adóügy
aecxml                        aecxml
afeketefehér                  afeketefehér
afelé                         afel
afelõl                        afelõl
affektáció                    affektáció
affektálj                     affektálj
affektálsz                    affektálsz
affektált                     affektál
affektáltál                   affektáltál
affektálásnak                 affektálás
afférban                      affér
affért                        aff
affértól                      affér
afganisztáni                  afganisztán
afrikai                       afri
afrodiziákum                  afrodiziáku
after                         after
afölött                       afölöt
agenda-setting                agenda-setting
agenda-settinggel             agenda-setting
agent                         agen
aggastyánosság                aggastyánosság
aggaszt                       aggasz
aggasztónak                   aggasztó
aggatott                      aggatot
aggatta                       aggatt
aggatva                       aggatv
aggkori                       aggkor
aggodalma                     aggodalm
aggodalmainkat                aggodalm
aggodalmainkkal               aggodalm
aggodalmak                    aggodalm
aggodalmakat                  aggodalm
aggodalmakkal                 aggodalm
aggodalmaskodnak              aggodalmas
aggodalmat                    aggodal
aggodalmunk                   aggodalm
aggodalom                     aggodal
aggodalommal                  aggodal
aggok                         agg
aggregált                     aggregál
aggregátumokat                aggregátum
aggregátumokon                aggregátum
aggresszív                    aggresszív
aggteleki                     aggtel
aggályos                      aggályos
aggályosnak                   aggályos
aggályoskodásod               aggályoskodás
aggályt                       aggály
aggálytalan                   aggálytal
aggódik                       aggód
aggódj                        aggódj
aggódnak                      aggó
aggódni                       aggódn
aggódniuk                     aggódn
aggódnom                      aggódn
aggódnunk                     aggódn
aggódnék                      aggódne
aggódom                       aggód
aggódott                      aggódot
aggódsz                       aggódsz
aggódtak                      aggódt
aggódtam                      aggódt
aggódtunk                     aggódt
aggódva                       aggódv
aggódásról                    aggódás
aggódó                        aggódó
agilitás                      agilitás
agitprop                      agitprop
agnoszticizmusnak             agnoszticizmus
agonizáló                     agonizáló
agoraphobia                   agoraphob
agrai                         agr
agressziónak                  agresszió
agresszióra                   agresszió
agresszióról                  agresszió
agresszorok                   agresszor
agresszív                     agresszív
agresszívabb                  agresszívabb
agresszívan                   agresszív
agronómus                     agronómus
agrár-                        agrár-
agrár-összeütközéseket        agrár-összeütközés
agrárdiplomás                 agrárdiplomás
agrárexport                   agrárexpor
agrárexport-tevékenység       agrárexport-tevékenység
agrárfinanszírozási           agrárfinanszírozás
agrárfórumot                  agrárfóru
agrárium                      agráriu
agrárkamarák                  agrárkamara
agrárminiszter                agrárminiszter
agrárprogram                  agrárprogr
agrárszabályozás              agrárszabályozás
agrárszektor                  agrárszektor
agrártermelõi                 agrártermelõ
agrártámogatási               agrártámogatás
agrártámogatások              agrártámogatás
agrártámogatásokból           agrártámogatás
agrártámogatásokra            agrártámogatás
agrártámogatásra              agrártámogatás
agrártámogatásának            agrártámogatás
agrártárca                    agrártárc
agrártárcánál                 agrártárc
agrárválság                   agrárválság
agy                           agy
agya                          agy
agyak                         agy
agyakat                       agy
agyakban                      agy
agyaként                      agy
agyam                         agy
agyamba                       agy
agyamban                      agy
agyamon                       agy
agyat                         agy
agyban                        agy
agyból                        agy
agynak                        agy
agyra                         agy
agyról                        agy
agyukat                       agy
agyukkal                      agy
agyunkat                      agy
agyunkban                     agy
agyába                        agy
agyában                       agy
agyából                       agy
agyán                         agy
agyát                         agy
agyú                          agyú
agyon                         agy
agyonra                       agyon
agybajt                       agybaj
agyafúrt                      agyafúr
agyafúrtak                    agyafúrt
agyag                         agyag
agyagot                       agyag
agyagember                    agyagember
agyagfalak                    agyagfal
agyagverem                    agyagver
agyalt                        agyal
agyalágyult                   agyalágyul
agydiagnózist                 agydiagnózis
agyelszívás                   agyelszívás
agyhalál                      agyhalál
agykutatás                    agykutatás
agykutatásról                 agykutatás
agykutató                     agykutató
agyközpontok                  agyközpont
agymûködésem                  agymûködés
agyoncsépelt                  agyoncsépel
agyonlõnek                    agyonlõ
agyonlõni                     agyonlõn
agyonlõnék                    agyonlõne
agyonlõtt                     agyonlõt
agyonlõttek                   agyonlõtt
agyonlövetése                 agyonlövetés
agyonlövik                    agyonlöv
agyontechnologizált           agyontechnologizál
agyonverik                    agyonver
agyonverni                    agyonvern
agyonverten                   agyonvert
agyonverték                   agyonverte
agyonzenélt                   agyonzenél
agyonéheztették               agyonéheztette
agyonüthetetlen               agyonüthetetl
agyonüthetik                  agyonüthet
agyrázkódása                  agyrázkódás
agyrémeinek                   agyrém
agysejtem                     agysejt
agysejtjeinek                 agysejt
agytekervényeit               agytekervény
agyterületekre                agyterület
agytornafélére                agytornafél
agytörzsig                    agytörzs
agyveleje                     agyvele
agyvelejében                  agyvele
agyvelõ                       agyvelõ
agyvizem                      agyviz
agyvérszegény                 agyvérszegény
agyvérzés                     agyvérzés
agyvérzése                    agyvérzés
agárdi                        agárd
ahaja                         aha
ahhoz                         ah
ahogy                         ahogy
ahogyan                       ahogy
ahol                          ahol
aholvalóságos                 aholvalóságos
ahonnan                       ahonn
ahonnét                       ahonn
ahoty                         ahoty
ahova                         ahov
ahová                         ah
ahány                         ahány
ahányan                       ahány
ahányast                      ahányas
ahányat                       ahány
ahányfajta                    ahányfajt
ahányféle                     ahányfél
ahányszor                     ahányszor
ajakmozgatás                  ajakmozgatás
ajimi                         ajim
ajjas                         ajjas
ajka                          aj
ajkai                         aj
ajkait                        aj
ajkak                         ajk
ajkamhoz                      aj
ajkuk                         aj
ajkába                        aj
ajkán                         aj
ajkának                       aj
ajkára                        aj
ajkát                         aj
ajtaja                        ajta
ajtajában                     ajta
ajtajából                     ajta
ajtajához                     ajta
ajtaján                       ajta
ajtaját                       ajta
ajtó                          ajtó
ajtóba                        ajtó
ajtóban                       ajtó
ajtóból                       ajtó
ajtóhoz                       ajtó
ajtóit                        ajtó
ajtójuk                       ajtó
ajtójában                     ajtó
ajtók                         ajtó
ajtókat                       ajtó
ajtókon                       ajtó
ajtóm                         ajtó
ajtón                         ajtó
ajtónak                       ajtó
ajtónk                        ajtó
ajtónál                       ajtó
ajtóra                        ajtó
ajtót                         ajtó
ajtóval                       ajtó
ajtónyílásra                  ajtónyílás
ajtófélfa                     ajtófélf
ajtófélfának                  ajtófélf
ajtó"-deszkát                 ajtó"-desz
ajtórugdosásnak               ajtórugdosás
ajtószárnyak                  ajtószárny
ajándék                       ajánde
ajándéka                      ajánde
ajándékait                    ajánde
ajándékba                     ajánde
ajándékként                   ajánde
ajándéknak                    ajánde
ajándékod                     ajánde
ajándékokat                   ajándék
ajándékokra                   ajándék
ajándékon                     ajánde
ajándékot                     ajánde
ajándékra                     ajánde
ajándékunkért                 ajánde
ajándékát                     ajánde
ajándékért                    ajánde
ajándékozni                   ajándékozn
ajándékozott                  ajándékozot
ajándékozott                  ajándékozot
ajándékozta                   ajándékozt
ajándékoztam                  ajándékozt
ajándékozunk                  ajándékoz
ajándékozzunk                 ajándékozz
ajándékozás                   ajándékozás
ajándékozásnál                ajándékozás
ajándékozással                ajándékozás
ajándékozó                    ajándékozó
ajándékboltba                 ajándékbolt
ajándékrészvény               ajándékrészvény
ajándéktárgyakat              ajándéktárgy
ajánl                         ajánl
ajánlanak                     ajánl
ajánlani                      ajánlan
ajánlanám                     ajánlana
ajánlatott                    ajánlatot
ajánlja                       ajánl
ajánlják                      ajánlja
ajánlom                       ajánl
ajánlotta                     ajánlott
ajánlottak                    ajánlott
ajánlottam                    ajánlott
ajánlották                    ajánlotta
ajánlunk                      ajánl
ajánlott                      ajánlot
ajánlat                       ajánl
ajánlata                      ajánlat
ajánlatai                     ajánlat
ajánlatban                    ajánlat
ajánlatnak                    ajánlat
ajánlatnak                    ajánlat
ajánlatok                     ajánlat
ajánlatokat                   ajánlat
ajánlatokkal                  ajánlat
ajánlatokról                  ajánlat
ajánlatot                     ajánlat
ajánlattal                    ajánl
ajánlattól                    ajánlat
ajánlatukat                   ajánlat
ajánlatukkal                  ajánlat
ajánlatunk                    ajánlat
ajánlatához                   ajánlat
ajánlatának                   ajánlat
ajánlatára                    ajánlat
ajánlatát                     ajánlat
ajánlatától                   ajánlat
ajánlatával                   ajánlat
ajánlati                      ajánlat
ajánlatos                     ajánlatos
ajánlatosabb                  ajánlatosabb
ajánlattevõ                   ajánlattevõ
ajánlattevõnek                ajánlattevõ
ajánlattevõnek                ajánlattevõ
ajánlattevõvel                ajánlattevõ
ajánlattétel                  ajánlattétel
ajánlattétellel               ajánlattétel
ajánlattételnek               ajánlattétel
ajánlattételre                ajánlattétel
ajánlattételt                 ajánlattétel
ajánlatétel                   ajánlatétel
ajánlhasson                   ajánlhass
ajánlhat                      ajánlh
ajánlhatom                    ajánlhat
ajánlható                     ajánlható
ajánlás                       ajánlás
ajánlásainak                  ajánlás
ajánlásainak                  ajánlás
ajánlásokat                   ajánlás
ajánlásokhoz                  ajánlás
ajánlásoknak                  ajánlás
ajánlást                      ajánlás
ajánlásában                   ajánlás
ajánlását                     ajánlás
ajánló                        ajánló
ak-tív                        ak-tív
akadhat                       akadh
akadhatnak                    akadhat
akadhatott                    akadhatot
akadna                        akadn
akadnak                       ak
akadozva                      akadozv
akadozásmentes                akadozásmentes
akadt                         ak
akadtak                       akadt
akadva                        akadv
akadály                       akadály
akadálya                      akadály
akadályait                    akadály
akadályba                     akadály
akadályok                     akadály
akadályokat                   akadály
akadályokba                   akadály
akadályokon                   akadály
akadályon                     akadály
akadályt                      akadály
akadályát                     akadály
akadálymentesnek              akadálymentes
akadálymentessége             akadálymentesség
akadályozhatja                akadályozhat
akadályoz                     akadályoz
akadályozni                   akadályozn
akadályoznom                  akadályozn
akadályozná                   akadályozna
akadályozom                   akadályoz
akadályozta                   akadályozt
akadályozza                   akadályozz
akadályozzák                  akadályozza
akadályozása                  akadályozás
akadályoztatva                akadályoztatv
akadályoztatás                akadályoztatás
akadályoztatását              akadályoztatás
akadályoztatásától            akadályoztatás
akadályozó                    akadályozó
akadálypályán                 akadálypály
akadálytalan                  akadálytal
akadékoskodott                akadékoskodot
akadékoskodás                 akadékoskodás
akadémiai                     akadémi
akadémikus                    akadémikus
akadémikussal                 akadémikus
akadémiák                     akadémia
akadémiákat                   akadémia
akadémiáknak                  akadémia
akadémiára                    akadém
akadémia                      akadém
akarat                        akar
akarata                       akarat
akaratból                     akarat
akaratodat                    akarat
akaratodból                   akarat
akaratoknak                   akarat
akaratos                      akaratos
akaratosabbak                 akaratosabb
akarattal                     akar
akarattalan                   akarattal
akarattól                     akarat
akaratuk                      akarat
akaratukat                    akarat
akaratukból                   akarat
akaratukon                    akarat
akaratából                    akarat
akaratán                      akarat
akaratának                    akarat
akaratára                     akarat
akaratát                      akarat
akaratától                    akarat
akarati                       akarat
akarategysége                 akarategység
akaratereje                   akaratere
akaraterejük                  akaratere
akaraterõ                     akaraterõ
akaraterõnk                   akaraterõ
akaratlan                     akaratl
